Week,D4,D3,D2,D1,D0,Nothing
4/22/14,24.77,51.92,19.32,3.99,0,0
4/15/14,23.49,45.28,26.45,4.59,0.2,0
4/8/14,23.49,45.28,26.45,4.6,0.19,0
4/1/14,23.49,45.28,26.45,4.6,0.19,0
3/25/14,23.42,48.36,23.43,4.59,0.2,0
3/18/14,22.37,49.41,21.3,6.72,0.2,0.01
3/11/14,22.37,43.53,24.91,3.75,5.44,0.01
3/4/14,22.37,43.53,24.93,3.73,5.44,0
2/25/14,26.21,47.62,16.99,3.73,5.44,0
2/18/14,14.62,53.68,22.52,3.72,5.45,0
2/11/14,9.81,51.13,30.65,2.95,4.02,1.43
2/4/14,9.81,57.32,22.78,4.27,4.39,1.43
1/28/14,8.77,58.36,22.78,4.27,4.39,1.43
1/21/14,0,62.71,27.21,4.27,4.39,1.43
1/14/14,0,62.71,27.21,4.27,4.39,1.43
1/7/14,0,27.59,59.94,6.71,4.32,1.43
12/31/13,0,27.59,59.94,6.71,3.14,2.61
12/24/13,0,27.59,57.29,9.37,3.14,2.61
12/17/13,0,27.59,54.94,11.71,3.14,2.61
12/10/13,0,27.59,54.94,11.62,3.24,2.61
12/3/13,0,27.59,54.94,11.62,3.24,2.61
11/26/13,0,27.59,54.94,11.62,3.24,2.61
11/19/13,0,27.59,56.53,11.87,1.39,2.61
11/12/13,0,11.36,72.77,11.87,1.39,2.61
11/5/13,0,11.36,72.77,11.86,1.39,2.62
10/29/13,0,11.36,72.77,11.86,1.36,2.66
10/22/13,0,11.36,72.77,11.86,1.36,2.66
10/15/13,0,11.36,72.77,11.82,1.4,2.65
10/8/13,0,11.36,72.77,11.83,1.53,2.52
10/1/13,0,11.36,72.77,11.83,1.42,2.63
9/24/13,0,11.36,78.48,6.2,1.34,2.63
9/17/13,0,11.36,78.48,6.2,1.34,2.63
9/10/13,0,11.36,81.58,4.15,2.92,0
9/3/13,0,11.36,81.58,4.15,2.92,0
8/27/13,0,11.36,82.5,4.37,1.77,0
8/20/13,0,11.36,82.5,4.37,1.77,0
8/13/13,0,11.36,82.5,4.37,1.77,0
8/6/13,0,0,93.86,4.37,1.77,0
7/30/13,0,0,93.86,4.37,1.77,0
7/23/13,0,0,93.96,4.27,1.77,0
7/16/13,0,0,93.96,4.27,1.77,0
7/9/13,0,0,92.7,5.53,1.77,0
7/2/13,0,0,92.7,5.53,1.77,0
6/25/13,0,0,92.61,5.6,1.79,0
6/18/13,0,0,67.07,31.14,1.79,0
6/11/13,0,0,53.54,44.62,1.84,0
6/4/13,0,0,53.64,44.52,1.84,0
5/28/13,0,0,46.25,51.91,1.84,0
5/21/13,0,0,46.25,51.91,1.84,0
5/14/13,0,0,46.25,51.91,1.84,0
5/7/13,0,0,46.25,51.91,1.84,0
4/30/13,0,0,32.82,31.47,35.7,0
4/23/13,0,0,30,33.42,33.74,2.84
4/16/13,0,0,23.22,25.17,48.77,2.84
4/9/13,0,0,23.22,25.17,48.77,2.84
4/2/13,0,0,24.22,24.16,51.62,0
3/26/13,0,0,24.22,24.16,51.62,0
3/19/13,0,0,24.19,24.19,38.77,12.85
3/12/13,0,0,24.19,22.05,38.14,15.63
3/5/13,0,0,26.96,20.41,52.6,0.03
2/26/13,0,0,26.96,20.17,52.85,0.02
2/19/13,0,0,23.72,23.46,37.37,15.45
2/12/13,0,0,23.72,23.46,18.29,34.53
2/5/13,0,0,21.57,25.62,18.62,34.2
1/29/13,0,0,21.57,25.62,18.62,34.2
1/22/13,0,0,21.57,32.01,12.23,34.2
1/15/13,0,0,21.57,32.01,12.23,34.2
1/8/13,0,0,21.37,33.65,12.56,32.42
1/1/13,0,0,22.5,32.82,12.93,31.75
12/25/12,0,0.05,25.17,30.96,12.87,30.94
12/18/12,0,0.05,26.1,30.04,12.87,30.94
12/11/12,0,0.05,26.54,31.35,11.11,30.94
12/4/12,0,0.05,26.54,32.76,17.49,23.15
11/27/12,0,1.14,27.02,42.31,22.76,6.77
11/20/12,0,1.14,20.47,46.06,27.51,4.82
11/13/12,0,1.14,17.95,47.27,26.44,7.19
11/6/12,0,1.14,17.95,48.65,25.06,7.19
10/30/12,0,1.14,17.95,49.38,24.79,6.73
10/23/12,0,1.14,17.95,49.38,24.76,6.75
10/16/12,0,1.14,17.95,49.38,24.89,6.64
10/9/12,0,1.14,20.83,47.6,23.78,6.64
10/2/12,0,1.14,20.83,47.44,18.65,11.94
9/25/12,0,1.14,21.12,47.14,18.64,11.95
9/18/12,0,1.14,21.12,46.82,18.97,11.95
9/11/12,0,1.14,21.17,46.82,19.13,11.74
9/4/12,0,1.14,21.61,46.53,18.97,11.74
8/28/12,0,1.14,21.9,46.39,18.82,11.74
8/21/12,0,0.29,23.01,45.91,19.49,11.3
8/14/12,0,0.29,23.02,40.53,24.86,11.3
8/7/12,0,0.29,23.02,40.49,24.55,11.64
7/31/12,0,0.29,23.32,40.2,24.55,11.64
7/24/12,0,0.29,26.56,36.96,24.55,11.64
7/17/12,0,0,22.92,36.81,24.38,15.88
7/10/12,0,0,22.92,36.81,24.38,15.88
7/3/12,0,0,22.92,36.85,24.35,15.88
6/26/12,0,0,22.76,36.74,24.6,15.89
6/19/12,0,0,22.6,36.91,24.6,15.89
6/12/12,0,0,22.6,36.3,25.22,15.89
6/5/12,0,0,22.6,36.3,25.22,15.89
5/29/12,0,0,22.6,36.3,25.22,15.89
5/22/12,0,0,22.6,36.3,25.22,15.89
5/15/12,0,0,22.6,36.3,25.22,15.89
5/8/12,0,0,21.14,37.75,25.22,15.89
5/1/12,0,0,21.14,37.83,25.19,15.84
4/24/12,0,0,22.87,37.36,23.93,15.84
4/17/12,0,0,26.35,33.88,23.93,15.84
4/10/12,0,0,49,32.48,13.64,4.89
4/3/12,0,0,46.25,35.75,14.45,3.54
3/27/12,0,0,46.25,43.36,8.16,2.22
3/20/12,0,0,40.14,49.47,8.17,2.22
3/13/12,0,0,45.73,44.42,9.75,0.11
3/6/12,0,0,16.02,59.22,20.38,4.39
2/28/12,0,0,16.02,56.07,23.53,4.39
2/21/12,0,0,5.06,62.7,27.47,4.77
2/14/12,0,0,0,59.06,30.57,10.37
2/7/12,0,0,0,59.06,30.57,10.37
